_DATE,_NAME,MATCHGAME,PRE_DIFF_FORM,PRE_DIFF_GS,PRE_DIFF_GC,PRE_DIFF_ATTACK_STRENGTH,PRE_DIFF_DEFENCE_STRENGTH,PRE_DIFF_PTS,_SEASON,_LEAGUE,_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Sun. 22 Jan.,Arsenal v Manchester Utd,22,-0.41935483870967744,-14.0,11.0,-0.23809523809523814,0.18707482993197283,-12.0,2011..2012,eng,Arsenal v Man Utd,2,-0.7999999999999972,0,1,-32,-8,-36,-20,-27,-57,11,-1,-3,3,-5,5,0,-3,-1,-13,-2,0,-3,0,-42,-50,-8,3,0,0,7,1,-9,-6,-1
Sat. 4 Feb.,Arsenal v Blackburn,24,0.0,6.0,-14.0,0.09287925696594435,-0.21671826625387003,19.0,2011..2012,eng,Arsenal v Blackburn,0,1.1999999999999993,8,2,162,-12,161,106,66,78,92,1,6,-6,7,-7,8,4,3,13,3,0,0,0,159,162,3,-3,-2,-1,1,2,-3,1,2
Sun. 26 Feb.,Arsenal v Tottenham,26,0.048387096774193616,-1.0,10.0,-0.014025245441795287,0.1402524544179523,-10.0,2011..2012,eng,Arsenal v Tottenham,0,-2.900000000000002,3,4,59,-12,57,54,19,61,36,-25,5,-5,-3,3,4,2,0,10,2,0,0,0,114,44,-70,-5,0,0,-8,-5,3,3,0
Mon. 12 Mar.,Arsenal v Newcastle Utd,28,0.5,16.0,-1.0,0.20860495436766635,-0.01303780964797907,5.0,2011..2012,eng,Arsenal v Newcastle,0,0.5,3,2,115,-16,119,69,41,32,69,12,0,0,2,-2,2,3,1,3,3,0,3,0,95,133,38,0,0,0,3,4,2,1,0
Sat. 24 Mar.,Arsenal v Aston Villa,30,0.6451612903225806,26.0,2.0,0.3205918618988903,0.02466091245376073,22.0,2011..2012,eng,Arsenal v Aston Villa,0,-0.1999999999999993,10,5,179,14,177,95,98,80,64,51,10,-10,5,-5,9,7,2,11,2,0,0,0,127,172,45,-10,-1,0,1,2,-4,1,2
Sun. 8 Apr.,Arsenal v Manchester City,32,-0.06451612903225801,-13.0,16.0,-0.14925373134328357,0.1836969001148106,-13.0,2011..2012,eng,Arsenal v Man City,0,-0.6999999999999993,2,1,129,5,114,92,55,76,59,14,2,-2,3,-3,1,1,0,17,2,0,-3,0,127,118,-9,-5,-2,0,4,2,0,-2,0
Mon. 16 Apr.,Arsenal v Wigan Athletic,34,0.14516129032258063,35.0,-16.0,0.37919826652221017,-0.17334777898158182,33.0,2011..2012,eng,Arsenal v Wigan,2,-0.6999999999999993,5,3,142,-1,141,90,67,109,48,2,5,-5,-3,3,7,5,1,13,3,0,-1,0,187,146,-41,-8,1,0,-3,-2,3,1,-1
Sat. 21 Apr.,Arsenal v Chelsea,35,0.08064516129032262,11.0,3.0,0.11566771819137756,0.031545741324921106,7.0,2011..2012,eng,Arsenal v Chelsea,1,-2.5,-4,-1,65,-5,66,33,29,-9,46,25,0,0,-1,1,-2,-2,0,-1,-5,0,2,0,11,69,58,5,1,0,-9,-2,10,7,0
Sat. 5 May.,Arsenal v Norwich City,37,0.40322580645161293,21.0,-19.0,0.20833333333333331,-0.18849206349206343,23.0,2011..2012,eng,Arsenal v Norwich,1,-0.1999999999999993,-4,-1,89,6,95,54,33,21,34,33,0,0,1,-1,-3,-5,-2,-5,-5,0,-2,0,53,94,41,6,1,0,-13,-9,5,4,-1
Sat. 20 Aug.,Aston Villa v Blackburn,2,0.5,-1.0,-2.0,-0.5,-1.0,1.0,2011..2012,eng,Aston Villa v Blackburn,0,0.8999999999999986,1,0,81,6,71,35,37,6,54,13,0,0,2,-2,3,1,1,-3,0,0,-2,0,31,80,49,5,0,0,0,1,3,1,2
Sat. 27 Aug.,Aston Villa v Wolverhampton,3,-0.16666666666666663,-1.0,0.0,-0.2325581395348837,0.0,-2.0,2011..2012,eng,Aston Villa v Wolverhampton,1,0.1999999999999993,2,-2,20,-1,19,20,8,6,8,14,0,0,1,-1,0,-1,0,2,1,0,0,0,8,10,2,4,0,0,4,0,-1,-4,0
Sat. 17 Sep.,Aston Villa v Newcastle Utd,5,-0.1333333333333333,2.0,2.0,0.20833333333333337,0.20833333333333331,-2.0,2011..2012,eng,Aston Villa v Newcastle,1,-0.20000000000000284,-5,-6,-44,8,-51,-35,-19,-35,-23,6,-5,5,-2,2,-2,-3,0,-13,-3,0,-1,0,-71,-65,6,0,0,0,0,-6,-6,-6,1
Sat. 1 Oct.,Aston Villa v Wigan Athletic,7,0.43548387096774194,2.0,-4.0,0.12422360248447206,-0.24844720496894412,3.0,2011..2012,eng,Aston Villa v Wigan,0,0.5,2,-1,-41,3,-45,-17,-21,2,-49,7,-3,3,1,-1,2,3,0,-3,-1,0,0,0,-15,-34,-19,0,-1,0,20,14,-17,-6,1
Sat. 22 Oct.,Aston Villa v West Bromwich,9,-0.3709677419354839,3.0,-1.0,0.13215859030837007,-0.04405286343612336,3.0,2011..2012,eng,Aston Villa v West Brom,2,-1.0,-2,-3,-47,3,-42,-32,-13,-14,-39,9,0,0,-2,2,-3,-2,-1,-2,-4,0,-2,0,-28,-38,-10,9,0,1,-2,0,0,2,0
Sat. 5 Nov.,Aston Villa v Norwich City,11,-0.2096774193548387,-1.0,-2.0,-0.03367003367003363,-0.06734006734006726,-1.0,2011..2012,eng,Aston Villa v Norwich,0,1.7000000000000028,3,0,37,2,33,15,15,-5,29,8,2,-2,-4,4,3,2,1,3,1,0,0,0,34,49,15,-1,-2,0,0,4,9,4,0
Sat. 3 Dec.,Aston Villa v Manchester Utd,14,-0.2903225806451613,-14.0,4.0,-0.3655352480417754,0.10443864229765015,-14.0,2011..2012,eng,Aston Villa v Man Utd,2,0.5999999999999979,-6,-2,-87,1,-95,-49,-47,-55,-51,6,-3,3,1,-1,-5,-2,-1,-9,-2,0,1,0,-104,-109,-5,-6,0,0,6,3,-2,-3,-1
Sun. 18 Dec.,Aston Villa v Liverpool,16,-0.048387096774193505,0.0,6.0,0.0,0.13544018058690743,-7.0,2011..2012,eng,Aston Villa v Liverpool,2,-0.6999999999999993,3,1,-110,-37,-107,-49,-66,-35,-24,-56,-4,4,6,-6,2,-2,-1,-4,0,0,-3,0,-37,-120,-83,-4,-1,0,1,-1,-3,-2,-2
Wed. 21 Dec.,Aston Villa v Arsenal,17,-0.16129032258064513,-13.0,-3.0,-0.281995661605206,-0.06507592190889366,-10.0,2011..2012,eng,Aston Villa v Arsenal,2,-0.3000000000000007,0,1,-126,-2,-121,-81,-35,31,-120,-28,3,-3,-2,2,0,0,0,12,5,0,2,0,-11,-113,-102,2,-1,0,5,4,-1,-1,-1
Mon. 2 Jan.,Aston Villa v Swansea City,20,0.2258064516129032,4.0,1.0,0.07448789571694603,0.01862197392923648,3.0,2011..2012,eng,Aston Villa v Swansea,2,0.7999999999999972,0,1,-73,-7,-77,-17,-32,58,-52,-55,6,-6,-1,1,1,1,0,19,5,0,1,0,38,-69,-107,1,-1,0,8,7,-1,-1,-1
Sat. 14 Jan.,Aston Villa v Everton,21,-0.08064516129032256,2.0,2.0,0.035335689045936425,0.035335689045936425,-1.0,2011..2012,eng,Aston Villa v Everton,1,-0.09999999999999787,4,2,-24,-8,-21,-27,5,13,-39,5,1,-1,2,-2,1,1,0,1,2,0,1,0,-3,-6,-3,1,-1,0,4,6,-1,2,0
Wed. 1 Feb.,Aston Villa v QP Rangers,23,0.19354838709677424,4.0,-8.0,0.06420545746388445,-0.12841091492776896,7.0,2011..2012,eng,Aston Villa v QPR,1,-2.200000000000003,7,4,167,-6,180,100,75,71,87,23,1,-1,8,-8,7,5,1,12,5,0,0,0,154,184,30,15,0,0,2,1,-3,-1,1
Sun. 12 Feb.,Aston Villa v Manchester City,25,-0.45161290322580644,-34.0,14.0,-0.5022156573116692,0.20679468242245203,-29.0,2011..2012,eng,Aston Villa v Man City,2,1.3000000000000043,-8,-5,-165,-3,-167,-90,-82,-54,-91,-27,-3,3,0,0,-6,-1,0,-6,-2,0,0,0,-104,-166,-62,10,0,0,7,4,-3,-3,0
Sat. 10 Mar.,Aston Villa v Fulham,28,-0.5161290322580645,-7.0,-1.0,-0.091264667535854,-0.013037809647979126,-6.0,2011..2012,eng,Aston Villa v Fulham,0,-3.5,8,4,33,-5,38,33,22,88,13,-45,7,-7,3,-3,5,4,0,21,3,0,-1,0,144,43,-101,3,0,0,7,7,0,0,0
Tue. 24 Apr.,Aston Villa v Bolton,29,0.19354838709677424,0.0,-22.0,0.0,-0.28061224489795916,10.0,2011..2012,eng,Aston Villa v Bolton,2,-2.0,4,0,-73,-12,-60,-41,-28,-7,-45,-17,2,-2,2,-2,4,4,0,5,4,0,3,0,-8,-53,-45,4,-1,0,-2,2,0,4,0
Sat. 31 Mar.,Aston Villa v Chelsea,31,-0.24193548387096775,-17.0,6.0,-0.20334928229665072,0.07177033492822965,-17.0,2011..2012,eng,Aston Villa v Chelsea,2,-3.4999999999999964,-2,-5,-75,-9,-60,-44,-22,34,-42,-59,4,-4,-2,2,0,1,0,11,3,0,-1,0,28,-60,-88,9,0,0,1,0,3,-1,-1
Mon. 9 Apr.,Aston Villa v Stoke City,33,-0.3225806451612903,4.0,1.0,0.044742729306487705,0.01118568232662187,-7.0,2011..2012,eng,Aston Villa v Stoke,1,-3.5000000000000036,-3,-1,71,3,56,28,28,-2,60,-3,4,-4,0,0,-2,-2,0,-9,-1,0,0,0,32,74,42,4,2,0,3,3,0,0,1
Sat. 21 Apr.,Aston Villa v Sunderland,35,-0.1935483870967742,-6.0,9.0,-0.06309148264984227,0.09463722397476348,-8.0,2011..2012,eng,Aston Villa v Sunderland,1,-0.8000000000000007,5,5,-38,-5,-37,-21,-24,8,-44,-8,1,-1,-4,4,4,0,0,-1,-1,0,0,0,-10,-15,-5,5,0,0,-3,0,2,3,0
Sun. 6 May.,Aston Villa v Tottenham,37,-0.2258064516129032,-27.0,10.0,-0.26785714285714285,0.09920634920634919,-28.0,2011..2012,eng,Aston Villa v Tottenham,1,-2.400000000000002,-9,-4,-106,-4,-100,-58,-63,-50,-57,-14,-6,6,2,-2,-7,-6,0,-11,-1,0,0,0,-76,-111,-35,3,-1,0,6,3,-4,-3,1
Sat. 13 Aug.,Blackburn v Wolverhampton,1,0,0,0,0,0,0,2011..2012,eng,Blackburn v Wolverhampton,2,-0.7999999999999972,-4,0,33,-6,27,25,16,12,15,15,4,-4,-1,1,-4,-1,0,6,0,0,0,0,21,35,14,3,0,0,-11,-9,8,2,0
Sat. 27 Aug.,Blackburn v Everton,3,0.0,2.0,2.0,0.46511627906976744,0.4651162790697675,0.0,2011..2012,eng,Blackburn v Everton,2,-1.0999999999999979,-2,0,-99,-6,-87,-62,-43,-16,-60,-28,-2,2,-5,5,0,0,0,3,1,0,-1,0,-25,-91,-66,7,2,0,-1,1,4,2,0
Sat. 17 Sep.,Blackburn v Arsenal,5,-0.3,0.0,-3.0,0.0,-0.3125,-3.0,2011..2012,eng,Blackburn v Arsenal,0,0.3999999999999986,-4,-4,-148,4,-148,-98,-66,-57,-92,-15,-5,5,-2,2,-3,-1,-1,-10,-2,0,1,0,-129,-150,-21,-3,0,0,3,4,2,1,-1
Sat. 1 Oct.,Blackburn v Manchester City,7,-0.5483870967741935,-11.0,8.0,-0.6832298136645962,0.49689440993788814,-12.0,2011..2012,eng,Blackburn v Man City,2,-0.3999999999999986,-8,-3,-202,12,-213,-122,-85,-78,-115,-14,-1,1,-1,1,-7,-3,0,-7,-2,0,0,0,-172,-207,-35,13,0,0,1,3,1,2,0
Sun. 23 Oct.,Blackburn v Tottenham,9,-0.40322580645161293,-6.0,6.0,-0.2643171806167401,0.26431718061674014,-11.0,2011..2012,eng,Blackburn v Tottenham,2,-1.6999999999999993,6,1,-37,-22,-26,-26,-12,-3,-14,-23,1,-1,-6,6,4,3,-1,-1,3,0,-2,0,15,-27,-42,9,0,0,-5,-5,2,0,0
Sat. 5 Nov.,Blackburn v Chelsea,11,0.0967741935483871,-10.0,8.0,-0.3367003367003366,0.26936026936026936,-13.0,2011..2012,eng,Blackburn v Chelsea,2,-1.6999999999999993,-1,-1,-151,-8,-156,-108,-54,-46,-89,-27,-1,1,-5,5,-1,0,0,-8,-2,0,2,0,-110,-150,-40,1,0,0,-3,-3,1,0,0
Sat. 3 Dec.,Blackburn v Swansea City,14,-0.24193548387096772,5.0,14.0,0.13054830287206265,0.3655352480417754,-7.0,2011..2012,eng,Blackburn v Swansea,0,-1.4000000000000021,7,4,-226,-10,-225,-124,-102,-15,-142,-70,1,-1,0,0,0,1,0,1,2,0,0,0,-57,-222,-165,12,1,0,3,1,-2,-2,1
Sat. 17 Dec.,Blackburn v West Bromwich,16,0.09677419354838712,8.0,11.0,0.1805869074492099,0.24830699774266363,-5.0,2011..2012,eng,Blackburn v West Brom,2,-2.400000000000002,-1,0,-26,4,-26,-35,4,-40,-6,14,-2,2,1,-1,-5,-5,0,-10,-2,0,2,0,-70,-23,47,-1,-1,0,2,3,2,1,0
Tue. 20 Dec.,Blackburn v Bolton,17,0.14516129032258066,3.0,-2.0,0.06507592190889366,-0.04338394793926248,1.0,2011..2012,eng,Blackburn v Bolton,2,-3.0,-1,-2,-26,-1,-25,-21,-3,20,-55,11,-4,4,1,-1,-3,-2,-2,-3,-1,0,1,0,-13,-44,-31,-4,2,0,-3,-5,-1,-2,-2
Mon. 2 Jan.,Blackburn v Stoke City,20,0.16129032258064513,8.0,11.0,0.14897579143389195,0.2048417132216015,-12.0,2011..2012,eng,Blackburn v Stoke,2,-4.699999999999999,1,4,48,3,29,21,30,4,26,21,2,-2,-1,1,0,2,-2,-3,3,0,-1,0,5,19,14,4,-1,0,7,5,-7,-2,-2
Sat. 14 Jan.,Blackburn v Fulham,21,-0.41935483870967744,7.0,17.0,0.12367491166077732,0.30035335689045933,-9.0,2011..2012,eng,Blackburn v Fulham,0,-3.299999999999997,2,3,-67,-4,-66,-47,-26,-27,-65,18,-3,3,0,0,0,-1,0,-8,-3,0,2,0,-75,-55,20,11,0,1,4,4,3,0,1
Wed. 1 Feb.,Blackburn v Newcastle Utd,23,0.1774193548387097,1.0,15.0,0.0160513643659711,0.24077046548956665,-18.0,2011..2012,eng,Blackburn v Newcastle,2,-1.0,13,4,57,-2,42,31,37,29,37,2,6,-6,6,-6,3,3,0,13,3,0,-2,0,49,67,18,1,-1,0,7,9,2,2,1
Sat. 11 Feb.,Blackburn v QP Rangers,25,-0.12903225806451613,9.0,13.0,0.13293943870014774,0.19202363367799125,-3.0,2011..2012,eng,Blackburn v QPR,0,-5.300000000000001,-6,-3,17,6,10,-7,15,-20,7,22,1,-1,4,-4,-4,0,2,-6,-2,0,-1,0,-21,15,36,0,0,0,6,5,1,-1,1
Sat. 3 Mar.,Blackburn v Aston Villa,27,-0.04838709677419356,8.0,25.0,0.10767160161507405,0.3364737550471063,-8.0,2011..2012,eng,Blackburn v Aston Villa,1,-0.9000000000000021,-5,-2,-59,-1,-66,-33,-31,-80,-12,25,-4,4,0,0,-6,-1,-1,-9,-2,0,-1,0,-116,-63,53,-7,0,0,0,-2,1,-2,-1
Tue. 20 Mar.,Blackburn v Sunderland,29,0.032258064516129115,4.0,29.0,0.05102040816326525,0.3698979591836735,-12.0,2011..2012,eng,Blackburn v Sunderland,0,0.3000000000000007,6,3,7,-8,14,17,-4,-2,-3,18,-2,2,-2,2,2,2,0,-5,-2,0,0,0,-7,17,24,5,-1,0,-12,-9,6,3,0
Mon. 2 Apr.,Blackburn v Manchester Utd,31,-0.5806451612903225,-31.0,35.0,-0.3708133971291867,0.4186602870813398,-45.0,2011..2012,eng,Blackburn v Man Utd,2,-1.5,-2,2,-212,-26,-221,-137,-92,-78,-135,-18,0,0,-4,4,-3,-3,0,-12,-3,0,-1,0,-172,-225,-53,9,-1,0,2,0,-2,-2,0
Tue. 10 Apr.,Blackburn v Liverpool,33,-0.16129032258064516,6.0,33.0,0.06711409395973156,0.3691275167785235,-15.0,2011..2012,eng,Blackburn v Liverpool,2,-1.5999999999999979,-2,-2,16,3,15,22,13,47,-15,2,0,0,4,-4,-1,1,0,9,1,0,-2,0,54,9,-45,1,-1,-1,-3,-2,5,1,-1
Sat. 21 Apr.,Blackburn v Norwich City,35,-0.3548387096774194,-2.0,15.0,-0.021030494216614126,0.1577287066246057,-15.0,2011..2012,eng,Blackburn v Norwich,0,-0.5,-6,-2,-56,-8,-65,-25,-37,-45,-23,7,0,0,2,-2,-3,1,1,-3,-3,0,3,0,-76,-68,8,5,0,0,2,1,-1,-1,1
Mon. 7 May.,Blackburn v Wigan Athletic,37,-0.4516129032258065,9.0,15.0,0.0892857142857143,0.14880952380952384,-6.0,2011..2012,eng,Blackburn v Wigan,2,-1.9999999999999964,-6,-3,-167,-2,-167,-88,-86,-30,-129,-16,-2,2,-1,1,-5,-3,0,-9,-4,0,-1,0,-100,-169,-69,10,0,0,8,3,-6,-5,0
Sun. 21 Aug.,Bolton v Manchester City,2,0.0,0.0,0.0,0.0,0.0,0.0,2011..2012,eng,Bolton v Man City,2,2.8000000000000007,-2,0,-103,1,-109,-45,-66,-20,-60,-30,1,-1,0,0,-5,-2,0,0,-2,0,-2,0,-77,-124,-47,-1,2,0,7,4,-7,-3,-1
Sat. 10 Sep.,Bolton v Manchester Utd,4,-0.8571428571428572,-6.0,3.0,-0.8108108108108106,0.4054054054054054,-6.0,2011..2012,eng,Bolton v Man Utd,2,1.3999999999999986,2,3,-80,-6,-85,-36,-41,13,-51,-41,3,-3,-10,10,-2,-1,-2,5,0,0,-2,0,3,-92,-95,4,2,0,1,-2,2,-3,-3
Sat. 17 Sep.,Bolton v Norwich City,5,-0.03333333333333334,4.0,5.0,0.41666666666666674,0.5208333333333335,1.0,2011..2012,eng,Bolton v Norwich,2,2.4999999999999964,-7,-3,94,7,75,50,23,-4,60,17,-4,4,0,0,-6,-4,-1,-9,-5,0,-2,0,40,105,65,5,1,1,-4,-1,3,3,-2
Sun. 2 Oct.,Bolton v Chelsea,7,-0.7419354838709677,-4.0,9.0,-0.24844720496894418,0.5590062111801242,-10.0,2011..2012,eng,Bolton v Chelsea,2,-0.29999999999999716,-3,0,-93,-13,-98,-52,-38,12,-35,-68,0,0,-2,2,-4,-1,-2,-2,0,0,0,0,-9,-93,-84,3,1,0,2,0,0,-2,-4
Sat. 22 Oct.,Bolton v Sunderland,9,0.3225806451612903,2.0,12.0,0.08810572687224666,0.5286343612334801,0.0,2011..2012,eng,Bolton v Sunderland,2,2.8999999999999986,-1,1,35,-1,29,21,7,-4,13,18,-1,1,-2,2,1,1,0,-4,-1,0,-3,0,-11,52,63,1,-2,0,9,8,-1,-1,0
Sun. 6 Nov.,Bolton v Stoke City,11,-0.01612903225806453,5.0,13.0,0.16835016835016836,0.4377104377104377,-6.0,2011..2012,eng,Bolton v Stoke,0,-1.6999999999999957,4,0,86,16,49,42,32,30,39,5,4,-4,-2,2,2,0,1,3,1,0,-1,0,63,75,12,1,0,0,10,10,0,0,2
Sat. 26 Nov.,Bolton v Everton,13,-0.2903225806451613,6.0,11.0,0.16759776536312848,0.3072625698324022,-4.0,2011..2012,eng,Bolton v Everton,2,2.1000000000000014,-1,0,-20,12,-22,-35,2,-27,-14,7,-3,3,4,-4,-2,-4,0,-10,-3,0,0,0,-77,-28,49,-6,-1,1,16,14,-7,-2,0
Sat. 10 Dec.,Bolton v Aston Villa,15,-0.14516129032258066,3.0,16.0,0.0726392251815981,0.38740920096852294,-7.0,2011..2012,eng,Bolton v Aston Villa,2,1.0000000000000036,-5,0,19,-1,15,18,-8,-24,23,9,-3,3,-3,3,-7,-5,-1,-11,-2,0,-2,0,-1,12,13,-5,1,0,-3,-4,-7,-1,-2
Mon. 26 Dec.,Bolton v Newcastle Utd,18,0.3709677419354839,-1.0,17.0,-0.02032520325203252,0.3455284552845527,-15.0,2011..2012,eng,Bolton v Newcastle,2,3.099999999999998,-3,-2,-7,-6,-31,14,-16,18,-25,5,1,-1,3,-3,-2,-1,0,2,1,0,-1,0,-10,-18,-8,4,0,0,3,3,-1,0,0
Sat. 31 Dec.,Bolton v Wolverhampton,19,-0.16129032258064518,2.0,8.0,0.03913894324853234,0.15655577299412915,-4.0,2011..2012,eng,Bolton v Wolverhampton,1,2.1999999999999993,4,3,1,2,2,-5,-6,-6,8,-13,0,0,-2,2,3,2,0,-1,-1,0,-3,0,28,20,-8,6,0,0,4,5,1,1,1
Sat. 21 Jan.,Bolton v Liverpool,22,-0.08064516129032256,1.0,28.0,0.017006802721088454,0.4761904761904763,-19.0,2011..2012,eng,Bolton v Liverpool,0,-0.9000000000000021,0,-3,-99,-3,-105,-53,-48,-16,-35,-50,-2,2,1,-1,-2,-2,0,-2,1,0,-3,0,-17,-90,-73,-1,0,0,4,4,-2,0,1
Wed. 1 Feb.,Bolton v Arsenal,23,0.596774193548387,-11.0,14.0,-0.1765650080256821,0.2247191011235955,-17.0,2011..2012,eng,Bolton v Arsenal,1,1.3999999999999986,-6,-3,-165,5,-170,-93,-76,-29,-86,-53,-3,3,0,0,-8,-6,0,-2,-3,0,3,0,-107,-181,-74,5,0,0,9,3,-6,-6,0
Sat. 11 Feb.,Bolton v Wigan Athletic,25,0.03225806451612906,7.0,0.0,0.10339734121122601,0.0,4.0,2011..2012,eng,Bolton v Wigan,2,0.5,-3,0,-105,-2,-121,-47,-52,-54,-28,-18,-1,1,-1,1,-5,-2,-1,-1,-4,0,0,0,-96,-124,-28,-2,0,0,5,5,-3,0,-1
Sat. 10 Mar.,Bolton v QP Rangers,28,-0.25806451612903225,1.0,10.0,0.013037809647979182,0.13037809647979137,-2.0,2011..2012,eng,Bolton v QPR,0,-2.200000000000003,-1,-2,27,-3,31,21,28,50,1,-2,5,-5,-3,3,0,-2,1,16,2,0,1,0,78,23,-55,4,2,0,-6,-7,3,-1,1
Sat. 24 Mar.,Bolton v Blackburn,30,-0.09677419354838712,-9.0,-2.0,-0.11097410604192359,-0.024660912453760786,-2.0,2011..2012,eng,Bolton v Blackburn,0,1.9999999999999964,3,-1,74,-2,71,51,39,24,37,29,5,-5,-4,4,2,1,1,14,2,0,0,0,41,86,45,-2,0,0,1,0,-2,-1,2
Sat. 7 Apr.,Bolton v Fulham,32,0.4193548387096775,-1.0,19.0,-0.01148105625717566,0.21814006888633763,-7.0,2011..2012,eng,Bolton v Fulham,2,-0.7000000000000028,-1,0,-31,3,-33,5,-28,40,-17,-47,1,-1,0,0,0,1,-1,9,0,0,-3,0,63,-40,-103,0,0,0,0,0,1,0,-2
